Comment,Designator,Footprint,LCSC,Quantity
0R,"R25,R26",R_0402_1005Metric,C17168,2
100R,"R11,R14",R_0402_1005Metric,C25076,2
100k,"R13,R4",R_0402_1005Metric,C25741,2
100nF,"C23,C25",C_0402_1005Metric,C1525,2
100µF,C22,C_1210_3225Metric,C7432790,1
10k,"R19,R20,R23",R_0402_1005Metric,C25744,3
10uF,"C1,C26",C_1210_3225Metric,C2918502,2
1uF,C28,C_0603_1608Metric,C15849,1
1uF,C27,C_0402_1005Metric,C52923,1
2.2uF,C29,C_0603_1608Metric,C23630,1
200k,R18,R_0402_1005Metric,C25764,1
22.1k,R22,R_0402_1005Metric,C2929993,1
38R,R12,R_0402_1005Metric,C49655352,1
5k1,"R1,R2",R_0402_1005Metric,C25905,2
6.34k,R21,R_0402_1005Metric,C3025668,1
AO3400A,Q1,SOT-23,C20917,1
BAT54C,D17,SOT-23,C916424,1
BAT54J,"D18,D19",D_SOD-323F,C86299,2
BMA253,U2,LGA-12,C165275,1
BQ27421-G1,U8,BGA-9_1.6x1.6mm_Layout3x3_P0.5mm,C2871789,1
BatProt,TH1,R_0805_2012Metric,C316395,1
IR26-21C_L110_TR8,D20,LED_1206_3216Metric,C131280,1
MP2667,U7,QFN-10_2x2mm_P0.5mm,C6595664,1
Polyfuse 1500mA,F1,F0805,C2977522,1
R470,R3,R_0402_1005Metric,C25117,1
TPS22917LDBV,U3,SOT-23-6,C3235537,1
USB C power only,J10,USB_C_Receptacle_GCT_USB4125-xx-x_6P_TopMnt_Horizontal,C456012,1
VEML3328,U5,VEML3328,C509073,1
WS2812B,"D1,D10,D11,D12,D13,D14,D15,D16,D2,D21,D22,D3,D4,D5,D6,D7,D8,D9",LED-SMD_6P-L2.2-W2.0_WS2816B-2020,C4154877,18
