Designator,Mid X,Mid Y,Rotation,Layer
C1,145.040417,-79.142498,180.0,top
C22,166.355417,-72.9625,135.0,top
C23,175.747917,-94.2,180.0,top
C25,143.815417,-82.3925,0.0,top
C26,138.225417,-88.4925,270.0,top
C27,131.275417,-92.9825,270.0,top
C28,138.275417,-101.1225,270.0,top
C29,143.745417,-91.7125,180.0,top
D1,175.83,-89.88,90.0,top
D10,162.085,-116.204,0.0,top
D11,170.84,-110.664967,45.0,top
D12,175.785417,-100.6525,90.0,top
D13,166.22,-95.3125,180.0,top
D14,161.260451,-105.9025,270.0,top
D15,149.105417,-105.7225,90.0,top
D16,143.19,-95.33,90.0,top
D17,140.065417,-83.7825,270.0,top
D18,143.035417,-99.9725,135.0,top
D19,178.312917,-94.0525,180.0,top
D2,170.825417,-79.7925,135.0,top
D20,157.50542,-90.652501,180.0,top
D21,149.39,-84.83,90.0,top
D22,161.165417,-84.7925,270.0,top
D3,162.24,-74.52,90.0,top
D4,147.945417,-74.4925,270.0,top
D5,139.9,-79.77,225.0,top
D6,134.71,-89.91,270.0,top
D7,135.105417,-100.4625,315.0,top
D8,139.534834,-110.803083,315.0,top
D9,148.35,-116.114967,0.0,top
F1,172.575417,-89.7425,270.0,top
J10,155.155417,-69.5425,180.0,top
J4,165.135417,-76.3325,0.0,bottom
J7,144.775417,-76.3325,0.0,bottom
Q1,161.225417,-88.9125,0.0,top
R1,157.025417,-74.3825,0.0,top
R11,150.835417,-78.6925,90.0,top
R12,164.305417,-86.3425,0.0,top
R13,163.765417,-87.832498,90.0,top
R14,164.795417,-87.8325,270.0,top
R18,142.365417,-83.8125,270.0,top
R19,135.795417,-92.6625,0.0,top
R2,153.345417,-74.3825,0.0,top
R20,134.195417,-94.0725,270.0,top
R21,145.915417,-82.3125,180.0,top
R22,144.855417,-81.3025,180.0,top
R23,162.545417,-94.3925,90.0,top
R25,131.285418,-85.7025,90.0,top
R26,169.695417,-82.3625,45.0,top
R3,175.815417,-92.6525,270.0,top
R4,179.167916,-96.250001,90.0,top
TH1,155.032917,-74.9125,180.0,bottom
U2,148.455415,-95.8925,270.0,top
U3,176.417917,-96.762501,0.0,top
U4,155.272282,-95.435181,0.0,top
U5,168.445417,-92.3525,90.0,top
U7,144.985417,-86.6725,0.0,top
U8,135.755417,-94.8725,270.0,top
